Year,ISO_Code,Countries,Economic Freedom Summary Index,Rank,Size of Government,Legal System & Property Rights,Sound Money,Freedom to trade internationally,Regulation
2019,DZA,Algeria,4.65,160,4.35,3.83,8,2.67,4.38
2019,ECU,Ecuador,6.43,103,6.33,4.72,8.43,6.65,6.02
2019,EGY,"Egypt, Arab Rep.",5.42,149,5.3,3.52,7.53,6.12,4.63
2019,ESP,Spain,7.85,23,6.36,7.57,9.36,8.61,7.34
2019,EST,Estonia,8.06,12,6.61,7.66,9.21,8.96,7.87
2019,ETH,Ethiopia,5.44,148,6.23,4.65,4.98,5.5,5.86
2019,FIN,Finland,7.94,20,5.11,8.89,9.3,8.61,7.77
2019,FJI,Fiji,5.97,130,5.45,4.51,6.91,6.06,6.93
2019,FRA,France,7.56,43,5.08,7.41,9.31,8.88,7.1
2019,GAB,Gabon,5.33,152,6.69,2.64,6.48,5.87,5
2019,GBR,United Kingdom,8.16,8,6.47,8.12,9.61,8.63,7.96
2019,GEO,Georgia,7.75,32,7.51,5.92,8.81,8.82,7.72
2019,GHA,Ghana,6.56,95,8.35,5.36,5.66,6.69,6.73
2019,GIN,Guinea,5.65,142,6.31,3.38,6.69,6.03,5.87
2019,GMB,"Gambia, The",7.01,74,8.19,5.19,8.61,6.34,6.74
2019,GNB,Guinea-Bissau,5.59,143,7.62,2.54,6.67,6.3,4.82
2019,GRC,Greece,7.15,63,5.27,6.37,9.21,8,6.88
2019,GTM,Guatemala,7.77,28,9.18,4.75,9.36,8.4,7.14
2019,GUY,Guyana,5.88,134,3.98,4.22,8.18,6.42,6.57
2019,HKG,"Hong Kong SAR, China",8.94,1,8.42,8.08,9.43,9.66,9.11
2019,HND,Honduras,7.1,69,8.91,3.97,9.02,7.17,6.41
2019,HRV,Croatia,7.17,62,5.38,6.01,9.63,8.42,6.43
2019,HTI,Haiti,6.29,113,9.01,2.89,5.75,7.63,6.15
2019,HUN,Hungary,7.44,51,5.86,6.62,9.21,8.58,6.92
2019,IDN,Indonesia,7.13,67,8.4,4.92,9.45,7.18,5.67
2019,IND,India,6.55,97,7.5,5.34,7.71,6.21,6.01
2019,IRL,Ireland,8.2,7,6.55,8.03,9.36,8.99,8.09
2019,IRN,"Iran, Islamic Rep.",4.51,161,6.39,3.32,5.23,2.99,4.6
2019,IRQ,Iraq,5.49,146,4.92,2.57,7.87,6.62,5.45
2019,ISL,Iceland,7.85,23,6,8.55,9.43,8.13,7.12
2019,ISR,Israel,7.64,39,6,6.49,9.7,8.68,7.33
2019,ITA,Italy,7.51,47,5.63,6.77,9.33,8.91,6.89
2019,JAM,Jamaica,7.54,45,8.07,5.72,8.94,7.21,7.78
2019,JOR,Jordan,7.42,53,7.49,4.57,9.83,7.9,7.32
2019,JPN,Japan,8,14,6.05,8.03,9.77,8.4,7.76
2019,KAZ,Kazakhstan,7.09,70,7.97,5.28,8.74,7.17,6.26
2019,KEN,Kenya,6.81,87,7.01,4.84,9.01,6.51,6.69
2019,KGZ,Kyrgyz Republic,6.88,80,7.36,4.46,9.22,7.27,6.07
2019,KHM,Cambodia,6.82,86,9.14,3.25,9.03,7.29,5.41
2019,KOR,"Korea, Rep.",7.66,38,6.43,7.1,9.63,7.97,7.19
2019,KWT,Kuwait,6.63,92,5.87,5.28,8.17,7.42,6.4
2019,LAO,Lao PDR,6.3,112,7.11,4.45,7.09,7.37,5.49
2019,LBN,Lebanon,6.43,103,8.17,3.62,9.4,5.78,5.19
2019,LBR,Liberia,5.77,138,7.11,3.67,7.1,5.82,5.13
2019,LBY,Libya,4.17,163,3.7,3.38,7.67,1.75,4.33
2019,LKA,Sri Lanka,6.66,90,8.04,5.23,7.68,6.01,6.37
2019,LSO,Lesotho,5.9,132,5.27,4.42,7.52,6.53,5.75
2019,LTU,Lithuania,8.01,13,7.66,7.1,9.16,8.76,7.38
2019,LUX,Luxembourg,7.99,15,5.74,8.58,9.17,8.86,7.58
2019,LVA,Latvia,7.76,29,6.4,7.1,9.08,8.78,7.46
2019,MAR,Morocco,6.56,95,6.62,5.27,7.38,7.21,6.34
2019,MDA,Moldova,7.02,73,7.75,5.82,7.94,7.65,5.93
2019,MDG,Madagascar,6.2,120,7.68,3.37,7.53,6.89,5.53
2019,MEX,Mexico,7.12,68,8.2,4.85,7.95,8.16,6.42
2019,MKD,North Macedonia,7.06,71,7.04,4.94,8.23,7.69,7.39
2019,MLI,Mali,5.8,136,6.43,3.44,7.02,6.39,5.72
2019,MLT,Malta,7.96,16,6.82,7.14,9.41,8.96,7.45
2019,MMR,Myanmar,5.37,151,7.35,3.44,5.79,5.46,4.81
2019,MNE,Montenegro,7.36,54,6.51,5.38,9.61,8.32,6.97
2019,MNG,Mongolia,7.14,66,7.28,5.87,8.51,6.97,7.06
2019,MOZ,Mozambique,6.44,100,6.66,4.66,7.65,7.09,6.14
2019,MRT,Mauritania,6.21,119,6.96,3.51,7.75,6.87,5.97
2019,MUS,Mauritius,8.11,10,7.85,6.8,9.64,8.76,7.52
2019,MWI,Malawi,5.59,143,6.31,4.61,6.52,4.82,5.66
2019,MYS,Malaysia,7.58,42,6.97,5.55,9.71,7.9,7.75
2019,NAM,Namibia,6.33,110,6.91,6.23,6.44,6.28,5.78
2019,NER,Niger,5.73,140,6.68,3.51,7.04,5.75,5.65
2019,NGA,Nigeria,6.71,88,8.8,3.95,8.16,6.03,6.6
2019,NIC,Nicaragua,6.65,91,6.05,3.93,9.18,8.03,6.08
2019,NLD,Netherlands,7.93,21,5.08,8.93,9.08,9.15,7.4
2019,NOR,Norway,7.76,29,5.05,8.91,9.3,8.23,7.33
2019,NPL,Nepal,6.53,98,8.09,4.97,6.16,6.31,7.1
2019,NZL,New Zealand,8.63,3,6.97,8.86,9.49,8.96,8.87
2019,OMN,Oman,6.53,98,4.71,5.13,8.61,7.45,6.73
2019,PAK,Pakistan,5.96,131,8.26,3.82,5.79,5.95,5.97
2019,PAN,Panama,7.7,34,7.66,5.71,9.42,8.88,6.82
2019,PER,Peru,7.69,35,7.68,5.57,9.52,8.82,6.87
2019,PHL,Philippines,7.2,61,8.1,4.54,9.38,7.2,6.76
2019,PNG,Papua New Guinea,6.22,118,6.15,4.62,6.48,7.55,6.3
2019,POL,Poland,7.22,59,6.21,6.55,8.19,8.32,6.85
2019,PRT,Portugal,7.83,25,6.17,7.93,9.37,8.85,6.79
2019,PRY,Paraguay,7.15,63,8.09,4.4,9.3,7.36,6.62
2019,QAT,Qatar,6.96,78,5.95,5.37,8.34,8.32,6.79
2019,ROU,Romania,7.67,37,7.16,6.78,9.08,8.75,6.6
2019,RUS,Russian Federation,6.44,100,6.07,5.13,8.92,6.63,5.45
2019,RWA,Rwanda,6.84,83,5.07,5.94,8.97,7.61,6.61
2019,SAU,Saudi Arabia,6.88,80,6.06,5.77,8.63,7.5,6.44
2019,SDN,Sudan,3.56,164,7.63,1.69,1.82,2.68,3.96
2019,SEN,Senegal,6.29,113,7.1,4.48,6.84,7.05,6
2019,SGP,Singapore,8.74,2,7.53,8.59,9.78,9.56,8.23
2019,SLE,Sierra Leone,6.07,128,7.71,4.91,6.28,6.62,4.84
2019,SLV,El Salvador,7.47,50,8.47,4.56,9.66,8.01,6.67
2019,SOM,Somalia,5.87,135,8.48,1.93,8.73,6.05,4.17
2019,SRB,Serbia,6.97,76,6.5,5.42,8.19,8.07,6.67
2019,SUR,Suriname,6.32,111,6.16,4.91,7.55,6.6,6.4
2019,SVK,Slovak Republic,7.56,43,6.34,6.74,9.15,8.68,6.88
2019,SVN,Slovenia,7.32,57,5.41,6.73,9.45,8.39,6.6
2019,SWE,Sweden,7.76,29,4.66,8.69,9.55,8.65,7.24
2019,SWZ,Eswatini,5.49,146,5.84,3.06,7.63,5.53,5.41
2019,SYC,Seychelles,7.63,40,7.14,5.97,9.19,8.35,7.52
2019,SYR,Syrian Arab Republic,4.72,159,6.45,2.67,5.94,5.1,3.42
2019,TCD,Chad,5.52,145,8.49,2.8,6.79,5.25,4.27
2019,TGO,Togo,6.24,116,7.55,4.57,6.96,6.22,5.89
2019,THA,Thailand,7,75,7.09,5.06,8.54,7.35,6.94
2019,TJK,Tajikistan,6.19,121,5.69,3.87,8.46,6.84,6.09
2019,TLS,Timor-Leste,6.42,105,4.49,4.62,8.67,7.75,6.59
2019,TTO,Trinidad and Tobago,7.22,59,6.87,5.31,9.19,7.84,6.88
2019,TUN,Tunisia,5.78,137,5.29,5.12,6.34,6.48,5.66
2019,TUR,Türkiye,6.41,106,6.68,4.75,7.37,7.44,5.83
2019,TWN,Taiwan,8.08,11,7.74,7.46,9.7,8.13,7.38
2019,TZA,Tanzania,6.44,100,6.49,5.18,8.14,6.01,6.39
2019,UGA,Uganda,6.97,76,7.44,4.45,9.2,7.19,6.58
2019,UKR,Ukraine,6.12,127,6.92,4.8,6.43,7.14,5.28
2019,URY,Uruguay,7.31,58,6.53,6.35,8.62,8.06,6.99
2019,USA,United States,8.28,5,7.26,7.73,9.64,8.15,8.62
2019,VEN,"Venezuela, RB",2.56,165,4.7,2.24,0.74,2.87,2.27
2019,VNM,Vietnam,6.16,125,6.53,5.04,6.79,6.5,5.93
2019,YEM,"Yemen, Rep.",5.22,154,8.26,2.12,8.22,4.59,2.91
2019,ZAF,South Africa,6.57,94,6.02,5.77,7.95,6.93,6.19
2019,ZMB,Zambia,6.34,108,6.3,5,8.27,6.75,5.39
2019,ZWE,Zimbabwe,4.32,162,6.27,3.6,1.34,5.51,4.89
